5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.8,1.4,0.1,Iris-setosa
5.8,3.5,1.2,0.3,Iris-setosa
5.6,3.6,1.1,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.7,3.2,1.6,0.7,Iris-setosa
5.8,3.9,1.7,0.5,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.8,1.4,0.1,Iris-setosa
5.8,3.5,1.2,0.3,Iris-setosa
5.6,3.6,1.1,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.7,3.2,1.6,0.7,Iris-setosa
5.8,3.9,1.7,0.5,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.8,1.4,0.1,Iris-setosa
5.8,3.5,1.2,0.3,Iris-setosa
5.6,3.6,1.1,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.7,3.2,1.6,0.7,Iris-setosa
5.8,3.9,1.7,0.5,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.8,1.4,0.1,Iris-setosa
5.8,3.5,1.2,0.3,Iris-setosa
5.6,3.6,1.1,0.2,Iris-setosa
5.1,3.5,1.4,0.2,Iris-setosa
5.7,3.2,1.6,0.7,Iris-setosa
5.8,3.9,1.7,0.5,Iris-setosa
7.4,3.2,4.7,1.4,Iris-versicolor
7.6,3.8,4.8,1.8,Iris-versicolor
7.5,3.7,4.2,1.5,Iris-versicolor
7.9,2.6,4.5,1.9,Iris-versicolor
7.2,2.7,3.3,1.6,Iris-versicolor
7.4,3.2,4.7,1.4,Iris-versicolor
7.6,3.8,4.8,1.8,Iris-versicolor
7.5,3.7,4.2,1.5,Iris-versicolor
7.9,2.6,4.5,1.9,Iris-versicolor
7.2,2.7,3.3,1.6,Iris-versicolor
7.4,3.2,4.7,1.4,Iris-versicolor
7.6,3.8,4.8,1.8,Iris-versicolor
7.5,3.7,4.2,1.5,Iris-versicolor
7.9,2.6,4.5,1.9,Iris-versicolor
7.2,2.7,3.3,1.6,Iris-versicolor
7.4,3.2,4.7,1.4,Iris-versicolor
7.6,3.8,4.8,1.8,Iris-versicolor
7.5,3.7,4.2,1.5,Iris-versicolor
7.9,2.6,4.5,1.9,Iris-versicolor
7.2,2.7,3.3,1.6,Iris-versicolor
